,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score,Louvain results path,n
536,3,0.9630350194552529,0.9649122807017544,0.9639727361246349,3,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3481/2021_2_5_22_54_18\Louvain_2,3
537,2,0.6721311475409836,0.6833333333333333,0.6776859504132232,1,0.4838709677419355,1.0,0.6521739130434783,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1264/2021_2_5_22_54_25\Louvain_2,2
538,3,0.7987804878048781,0.8343949044585988,0.8161993769470406,2,0.569672131147541,0.8853503184713376,0.6932668329177057,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4174/2021_2_5_22_54_36\Louvain_2,3
539,3,0.22435897435897437,0.4666666666666667,0.30303030303030304,5,0.1834862385321101,0.26666666666666666,0.21739130434782608,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2831/2021_2_5_22_54_42\Louvain_2,6
540,4,0.3464052287581699,0.7981927710843374,0.4831358249772105,4,0.28162291169451076,0.7108433734939759,0.4034188034188034,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2668/2021_2_5_22_55_32\Louvain_2,9
541,3,0.9264705882352942,0.9333333333333333,0.929889298892989,3,0.3181818181818182,0.362962962962963,0.3391003460207613,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4033/2021_2_5_22_55_46\Louvain_2,3
542,5,0.44851904090267986,0.6883116883116883,0.5431255337318531,3,0.26279271465741544,0.6558441558441559,0.3752321981424149,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1294/2021_2_5_22_56_27\Louvain_2,7
543,3,0.4008810572687225,0.9479166666666666,0.5634674922600619,6,0.3878787878787879,0.6666666666666666,0.49042145593869735,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_1807/2021_2_5_22_56_32\Louvain_2,7
544,3,0.75,0.8,0.7741935483870969,3,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4143/2021_2_5_22_56_32\Louvain_2,3
545,1,1.0,1.0,1.0,1,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4380/2021_2_5_22_56_33\Louvain_2,2
546,3,1.0,1.0,1.0,3,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4116/2021_2_5_22_56_35\Louvain_2,3
547,4,0.07352941176470588,0.1724137931034483,0.10309278350515463,2,0.09722222222222222,0.4827586206896552,0.16184971098265893,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_4222/2021_2_5_22_56_39\Louvain_2,8
548,4,0.13402061855670103,0.3851851851851852,0.1988527724665392,3,0.0975609756097561,0.4444444444444444,0.16,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_2496/2021_2_5_22_57_5\Louvain_2,9
549,3,0.6095717884130982,0.9166666666666666,0.7322239031770046,4,1.0,1.0,1.0,C:/Users/owen/Machine learning projects/Luc_tweet project/Results/Multiple_population_correlations/T_3192/2021_2_5_22_57_31\Louvain_2,4
