,v1clusters,v1recall,v1precision,v1f_score,v2clusters,v2recall,v2precision,v2f_score
908,2,0.7045454545454546,0.96875,0.8157894736842106,2,0.5263157894736842,0.625,0.5714285714285714
909,4,0.1780821917808219,0.2888888888888889,0.22033898305084745,2,0.13802816901408452,0.5444444444444444,0.2202247191011236
910,3,0.2558139534883721,0.6707317073170732,0.3703703703703704,1,0.12312312312312312,1.0,0.2192513368983957
911,2,0.48,0.8,0.6,1,0.2727272727272727,1.0,0.42857142857142855
912,1,0.4444444444444444,1.0,0.6153846153846153,2,0.6,0.6,0.6
913,3,0.5414634146341464,0.925,0.6830769230769231,2,0.32748538011695905,0.9333333333333332,0.4848484848484849
914,3,0.484375,0.8378378378378378,0.6138613861386139,2,0.24509803921568624,0.6756756756756757,0.3597122302158273
915,2,0.7551020408163265,1.0,0.8604651162790697,2,0.7551020408163265,1.0,0.8604651162790697
916,4,0.31527093596059114,0.7664670658682635,0.4467713787085515,3,0.2432950191570881,0.7604790419161677,0.3686502177068215
917,4,0.22132796780684105,0.3363914373088685,0.266990291262136,2,0.16049382716049382,0.5565749235474006,0.24914442162902126
918,2,1.0,1.0,1.0,1,0.5238095238095238,1.0,0.6875000000000001
919,3,0.3193916349809886,0.4666666666666667,0.3792325056433409,2,0.21875,0.4666666666666667,0.2978723404255319
920,3,0.09401709401709403,0.3188405797101449,0.1452145214521452,2,0.11375661375661375,0.6231884057971014,0.19239373601789708
921,3,0.33417402269861285,0.9330985915492958,0.4921077065923862,3,0.3663366336633663,0.9119718309859156,0.5227043390514632
922,4,0.3888559573206876,0.9010989010989012,0.5432712215320911,2,0.12404580152671756,0.5357142857142857,0.20144628099173556
923,2,0.4838709677419355,0.7894736842105263,0.6,2,0.4411764705882353,0.7894736842105263,0.5660377358490566
924,2,0.6213151927437641,0.9856115107913668,0.7621696801112656,2,0.30248306997742663,0.4820143884892086,0.3717059639389736
925,3,0.3660130718954248,0.9333333333333332,0.5258215962441314,2,0.24444444444444444,0.9166666666666666,0.3859649122807018
926,3,0.3578528827037773,0.5263157894736842,0.42603550295857984,2,0.23886925795053005,0.4941520467836257,0.3220581229156741
927,3,0.1038961038961039,0.3555555555555556,0.16080402010050254,2,0.09348441926345608,0.4888888888888889,0.15695600475624255
928,4,0.3698074974670719,0.8913308913308914,0.5227354099534551,2,0.11532700948577135,0.5641025641025641,0.19150259067357514
929,3,0.3239339752407153,0.8795518207282913,0.4734858004523749,3,0.3494694960212202,0.984126984126984,0.5157817470026914
930,4,0.2520661157024793,0.6777777777777778,0.3674698795180723,2,0.12653061224489795,0.6888888888888889,0.21379310344827585
931,3,0.42857142857142855,0.65,0.5165562913907286,2,0.19696969696969696,0.43333333333333335,0.2708333333333333
932,2,0.2777777777777778,0.8,0.4123711340206185,1,0.16666666666666666,1.0,0.2857142857142857
933,2,0.6530612244897959,0.9411764705882352,0.7710843373493975,2,0.6938775510204082,1.0,0.8192771084337349
934,3,0.20135363790186125,0.5063829787234042,0.288135593220339,2,0.1422902494331066,0.5340425531914894,0.22470904207699194
935,3,0.41248470012239896,0.7837209302325582,0.5404971932638333,2,0.2725099601593626,0.7953488372093023,0.4059347181008902
936,4,0.6908212560386473,0.9533333333333334,0.8011204481792717,2,0.19543147208121828,0.5133333333333333,0.2830882352941177
937,2,0.3635798632691112,0.975,0.5296514259846083,2,0.25411334552102377,0.695,0.3721552878179384
938,3,0.2890587673196369,0.7202380952380952,0.4125468803273099,3,0.13558023745691306,0.4214285714285714,0.20515792523906112
939,2,0.4878048780487805,0.7894736842105263,0.6030150753768844,2,0.3909774436090225,0.6842105263157895,0.4976076555023922
940,3,0.4201680672268908,0.7194244604316546,0.5305039787798408,2,0.2359249329758713,0.6330935251798561,0.34375
941,3,0.2862018527547538,0.6988095238095238,0.4060878588723625,3,0.2476780185758514,0.6666666666666666,0.3611738148984199
942,3,0.5025380710659898,0.9428571428571428,0.6556291390728477,2,0.2491909385113269,0.7333333333333333,0.3719806763285024
943,3,0.24857142857142855,0.5272727272727272,0.3378640776699029,2,0.1461609620721554,0.4787878787878788,0.22395464209780303
944,3,0.3392857142857143,0.9047619047619048,0.4935064935064936,3,0.35018050541516244,0.923809523809524,0.5078534031413613
945,2,0.296875,0.6229508196721312,0.4021164021164021,3,0.5212121212121212,0.7049180327868853,0.5993031358885018
946,2,1.0,1.0,1.0,2,1.0,1.0,1.0
947,3,0.5082382762991128,0.7371323529411765,0.6016504126031508,2,0.2391118701964133,0.5147058823529411,0.32653061224489793
948,2,0.7209302325581395,1.0,0.8378378378378378,2,0.3488372093023256,0.4838709677419355,0.4054054054054055
949,2,0.564625850340136,0.9222222222222224,0.70042194092827,2,0.31121642969984203,0.5472222222222223,0.3967774420946626
950,3,0.7827380952380952,0.8708609271523179,0.8244514106583072,2,0.4773175542406312,0.8013245033112583,0.5982694684796044
951,3,0.4427860696517413,0.898989898989899,0.5933333333333333,2,0.25,0.6767676767676768,0.3651226158038147
952,2,1.0,1.0,1.0,2,1.0,1.0,1.0
953,3,0.8558558558558559,1.0,0.9223300970873786,2,0.3964497041420119,0.7052631578947368,0.5075757575757576
954,3,0.17532467532467533,0.4655172413793103,0.2547169811320755,3,0.2625,0.7241379310344828,0.3853211009174312
955,4,0.13170518970780634,0.252297410192147,0.17306590257879656,3,0.13893653516295024,0.3383458646616541,0.19698443579766536
956,2,0.7923497267759563,0.7967032967032966,0.7945205479452053,3,0.4789915966386555,0.3131868131868132,0.3787375415282392
957,3,0.35113636363636364,0.8465753424657534,0.4963855421686747,4,0.4963715529753266,0.9369863013698628,0.6489563567362429
958,3,0.5905511811023622,0.925925925925926,0.7211538461538459,3,0.6428571428571429,1.0,0.7826086956521741
959,3,0.4275092936802974,0.5927835051546392,0.4967602591792656,2,0.27586206896551724,0.5773195876288659,0.37333333333333335
960,4,0.5590452261306532,0.9508547008547008,0.7041139240506329,4,0.5806451612903226,1.0,0.7346938775510204
961,3,0.29088471849865954,0.821969696969697,0.4297029702970297,2,0.11169284467713787,0.4848484848484849,0.18156028368794325
962,3,0.3150851581508516,0.8547854785478548,0.4604444444444444,3,0.2565853658536585,0.8679867986798679,0.3960843373493976
